emotion,text,predicted_emotion
neutral,I am okay.,neutral
surprise,I can't believe it!,surprise
sad,I miss you so much.,sad
fear,My heart is racing!,fear
surprise,I can't believe it!,surprise
neutral,I am okay.,neutral
fear,My heart is racing!,fear
angry,Stop annoying me!,angry
disgust,This is the worst thing ever.,disgust
surprise,That's unbelievable!,surprise
fear,My heart is racing!,fear
neutral,Nothing much to say.,sad
angry,I am furious right now!,angry
neutral,Feeling neutral about this.,neutral
neutral,It's an average experience.,neutral
fear,My heart is racing!,fear
sad,I am feeling blue.,sad
happy,So happy to see you!,happy
angry,This makes me so mad!,angry
happy,So happy to see you!,happy
happy,What a beautiful day!,happy
fear,I don't know what to do!,fear
sad,I am feeling blue.,sad
disgust,This is so gross!,disgust
surprise,This is amazing!,surprise
disgust,This is so gross!,disgust
neutral,Feeling neutral about this.,neutral
angry,This makes me so mad!,angry
happy,Best day ever!,happy
angry,Stop annoying me!,angry
angry,I can't stand this!,angry
surprise,I am totally shocked!,surprise
sad,I miss you so much.,sad
angry,I can't stand this!,angry
disgust,Absolutely disgusting!,disgust
sad,I feel so down.,sad
angry,This makes me so mad!,angry
neutral,I am okay.,neutral
sad,This is heartbreaking.,sad
surprise,This is amazing!,surprise
happy,Feeling great today!,happy
disgust,This is so gross!,disgust
fear,I am really scared.,fear
angry,This is unacceptable!,angry
fear,I am feeling anxious.,fear
disgust,I can't stand the smell.,disgust
neutral,It's an average experience.,neutral
happy,What a beautiful day!,happy
neutral,Just another normal day.,neutral
neutral,It's an average experience.,neutral
sad,Nothing is going right.,sad
sad,This is heartbreaking.,sad
fear,This is terrifying.,fear
happy,Feeling great today!,happy
fear,My heart is racing!,fear
angry,This makes me so mad!,angry
neutral,Just another normal day.,neutral
surprise,That's unbelievable!,surprise
neutral,It's an average experience.,neutral
neutral,Nothing much to say.,sad
fear,I don't know what to do!,fear
angry,This is unacceptable!,angry
happy,Best day ever!,happy
angry,I can't stand this!,angry
disgust,I can't stand the smell.,disgust
fear,I am feeling anxious.,fear
neutral,I am okay.,neutral
angry,I can't stand this!,angry
disgust,This is so gross!,disgust
fear,I am feeling anxious.,fear
disgust,This is so gross!,disgust
fear,This is terrifying.,fear
neutral,Just another normal day.,neutral
surprise,I can't believe it!,surprise
disgust,Absolutely disgusting!,disgust
neutral,Feeling neutral about this.,neutral
angry,This makes me so mad!,angry
happy,Best day ever!,happy
fear,I am really scared.,fear
angry,This is unacceptable!,angry
sad,I feel so down.,sad
neutral,I am okay.,neutral
disgust,I feel sick looking at this.,disgust
angry,This is unacceptable!,angry
sad,I feel so down.,sad
happy,Best day ever!,happy
surprise,I can't believe it!,surprise
disgust,This is so gross!,disgust
surprise,"Wow, I didn't expect that!",surprise
sad,Nothing is going right.,sad
disgust,This is the worst thing ever.,disgust
neutral,It's an average experience.,neutral
surprise,I can't believe it!,surprise
happy,Feeling great today!,happy
neutral,It's an average experience.,neutral
happy,I love this!,happy
neutral,I am okay.,neutral
disgust,I feel sick looking at this.,disgust
happy,Feeling great today!,happy
happy,I love this!,happy
angry,This is unacceptable!,angry
surprise,This is amazing!,surprise
disgust,This is the worst thing ever.,disgust
sad,Nothing is going right.,sad
sad,I feel so down.,sad
happy,So happy to see you!,happy
surprise,That's unbelievable!,surprise
disgust,This is the worst thing ever.,disgust
angry,I can't stand this!,angry
disgust,I feel sick looking at this.,disgust
fear,This is terrifying.,fear
disgust,I can't stand the smell.,disgust
sad,I feel so down.,sad
surprise,"Wow, I didn't expect that!",surprise
surprise,I can't believe it!,surprise
angry,I can't stand this!,angry
neutral,I am okay.,neutral
disgust,I can't stand the smell.,disgust
sad,This is heartbreaking.,sad
surprise,This is amazing!,surprise
happy,So happy to see you!,happy
angry,This makes me so mad!,angry
sad,I feel so down.,sad
angry,I am furious right now!,angry
disgust,I can't stand the smell.,disgust
sad,I am feeling blue.,sad
disgust,Absolutely disgusting!,disgust
sad,I am feeling blue.,sad
happy,What a beautiful day!,happy
angry,This is unacceptable!,angry
neutral,Feeling neutral about this.,neutral
fear,This is terrifying.,fear
sad,Nothing is going right.,sad
surprise,I can't believe it!,surprise
disgust,This is the worst thing ever.,disgust
disgust,I feel sick looking at this.,disgust
neutral,Just another normal day.,neutral
sad,I am feeling blue.,sad
happy,Best day ever!,happy
happy,So happy to see you!,happy
angry,This makes me so mad!,angry
neutral,Just another normal day.,neutral
sad,I miss you so much.,sad
fear,My heart is racing!,fear
fear,I am feeling anxious.,fear
surprise,I am totally shocked!,surprise
sad,I feel so down.,sad
sad,I feel so down.,sad
disgust,I can't stand the smell.,disgust
angry,This is unacceptable!,angry
sad,I am feeling blue.,sad
happy,I love this!,happy
neutral,Just another normal day.,neutral
angry,Stop annoying me!,angry
disgust,I feel sick looking at this.,disgust
fear,This is terrifying.,fear
neutral,It's an average experience.,neutral
happy,Feeling great today!,happy
surprise,That's unbelievable!,surprise
